               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.033128,            0.021172,             0.00089,             0.49245,             0.40091,             0.34682,             0.12253,            0.060283,            0.044608,            0.010605,           0.0024513,           0.0024513,           0.0024513
                  63,            0.032518,            0.021049,          0.00089507,             0.54465,             0.37369,             0.35183,             0.12179,            0.060439,            0.045476,            0.010608,           0.0023275,           0.0023275,           0.0023275
                  64,            0.032382,            0.020485,          0.00086655,             0.51014,             0.38983,             0.34512,             0.12233,            0.060415,            0.045945,            0.010411,           0.0022038,           0.0022038,           0.0022038
                  65,            0.031903,            0.020356,          0.00085385,              0.5363,             0.39344,             0.35007,               0.121,            0.060688,            0.046423,            0.010363,             0.00208,             0.00208,             0.00208
                  66,            0.031512,            0.020289,          0.00081761,             0.54213,              0.3847,             0.34505,             0.11756,            0.060806,            0.046256,            0.010729,           0.0019563,           0.0019563,           0.0019563
                  67,            0.031182,            0.020404,          0.00077159,             0.55452,             0.37021,             0.34229,             0.12122,            0.061088,            0.046469,            0.010546,           0.0018325,           0.0018325,           0.0018325
                  68,            0.030722,            0.020067,          0.00075963,             0.52572,             0.40156,             0.34691,             0.11651,            0.061162,            0.047231,            0.010556,           0.0017087,           0.0017087,           0.0017087
                  69,             0.03037,            0.019474,          0.00070064,             0.51637,             0.40007,             0.34974,             0.11741,            0.061153,            0.047841,            0.010541,            0.001585,            0.001585,            0.001585
                  70,            0.029997,            0.019211,          0.00076853,             0.48646,             0.40615,             0.34968,             0.11799,            0.061044,            0.048158,            0.010606,           0.0014612,           0.0014612,           0.0014612
                  71,            0.029801,            0.018992,          0.00071806,             0.51645,             0.40132,             0.34915,             0.12297,            0.061196,            0.048502,            0.010394,           0.0013375,           0.0013375,           0.0013375
                  72,            0.029372,            0.019152,          0.00071879,             0.50505,             0.40574,             0.35556,             0.12484,            0.061215,            0.048744,            0.010457,           0.0012138,           0.0012138,           0.0012138
                  73,            0.028913,            0.018907,          0.00067662,             0.49943,             0.39309,             0.34818,              0.1205,            0.061257,            0.048972,             0.01061,             0.00109,             0.00109,             0.00109
                  74,            0.028515,            0.018466,          0.00065224,              0.5269,             0.37764,             0.35196,              0.1242,            0.061537,            0.049371,            0.010727,          0.00096625,          0.00096625,          0.00096625
                  75,            0.028103,            0.018445,          0.00065225,             0.49469,             0.39578,             0.34619,             0.12218,            0.061387,             0.04963,            0.010803,           0.0008425,           0.0008425,           0.0008425
                  76,            0.027779,            0.018097,          0.00062248,             0.50485,              0.3958,             0.35575,             0.12417,            0.061427,            0.049854,            0.010866,          0.00071875,          0.00071875,          0.00071875
                  77,            0.027576,            0.018163,          0.00065427,             0.51703,             0.38724,             0.35027,             0.12369,            0.061671,            0.050055,            0.010943,            0.000595,            0.000595,            0.000595
                  78,            0.027283,            0.018061,            0.000572,             0.49834,             0.40414,             0.35603,             0.12354,            0.061665,            0.050128,            0.011017,          0.00047125,          0.00047125,          0.00047125
                  79,            0.026952,            0.017929,          0.00060756,              0.5266,             0.39287,             0.35458,             0.12392,            0.061578,            0.050537,            0.010941,           0.0003475,           0.0003475,           0.0003475
